module,task,metric_kind,proxy_corruption_fraction,replicate,random_score,grouped_score_under_proxy,true_grouped_score,gap_under_proxy,true_gap,gap_retention,proxy_n_groups
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.5,1,0.5528695151215022,0.5674687842555912,0.055118216785339236,-0.014599269134089043,0.49775129833616294,-0.029330449127687123,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.5,2,0.5528695151215022,0.43318342332743276,0.055118216785339236,0.11968609179406942,0.49775129833616294,0.24045360041077748,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.5,3,0.5528695151215022,0.5923026686589339,0.055118216785339236,-0.03943315353743171,0.49775129833616294,-0.07922260307355342,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.5,4,0.5528695151215022,0.16354187593335723,0.055118216785339236,0.38932763918814495,0.49775129833616294,0.7821730259459964,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.5,5,0.5528695151215022,0.5684504010201261,0.055118216785339236,-0.015580885898623942,0.49775129833616294,-0.031302551998771855,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.75,1,0.5528695151215022,0.5761245036762905,0.055118216785339236,-0.02325498855478836,0.49775129833616294,-0.04672009622581194,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.75,2,0.5528695151215022,0.596912867528123,0.055118216785339236,-0.04404335240662083,0.49775129833616294,-0.08848465599958227,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.75,3,0.5528695151215022,0.5034835838662859,0.055118216785339236,0.04938593125521629,0.49775129833616294,0.09921808626175163,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.75,4,0.5528695151215022,0.5802482175375415,0.055118216785339236,-0.027378702416039347,0.49775129833616294,-0.055004783528558025,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.75,5,0.5528695151215022,0.570974446911654,0.055118216785339236,-0.018104931790151824,0.49775129833616294,-0.036373449653815705,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,1.0,1,0.5528695151215022,0.5630441120146752,0.055118216785339236,-0.010174596893173016,0.49775129833616294,-0.020441125773420818,28
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,1.0,2,0.5528695151215022,0.5398290819168434,0.055118216785339236,0.013040433204658752,0.49775129833616294,0.026198692496130313,28
